ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
,1902309,0,422213,1.000000000000000,"23303 MICHIGAN AVE",0,18.000000000000000,1022020,SANBORN,48124,61031,0,,2000,1100.273258823949391,21,"82 09 214 05 001",61735.492350788517797,1025,42.300777,-83.261912,1,rooftop,23303,"Michigan Ave",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1902583,0,422224,1.000000000000000,"22723 MICHIGAN AVE",0,13.000000000000000,1022035,SANBORN,48124,3074,0,,1927,244.787142402297661,65,"82 09 214 08 005",3110.051834794641763,1025,42.30329,-83.255704,1,rooftop,22723,"Michigan Ave",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1903282,0,422239,1.000000000000000,"4072 W JEFFERSON AVE",0,15.000000000000000,1075217,SANBORN,48229,1600,0,,0,163.009860638996258,21,"34 006 07 0007 000",1559.453458250666472,1040,42.250886,-83.141586,1,rooftop,4072,"W Jefferson Ave",,,Ecorse,MI,"Wayne County",48229,US,Semcog
,1918578,0,422351,1.000000000000000,"13703 WOODWARD AVE",0,15.000000000000000,1123766,SANBORN,48203,1736,0,,2013,176.659051338500205,21,"43 009 05 0002 001",1735.608124933263980,1100,42.404296,-83.096561,1,rooftop,13703,"Woodward Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1113432,0,422547,1.000000000000000,"22688 MICHIGAN AVE",0,20.000000000000000,1021976,SANBORN,48124,21125,0,,1939,585.825813574784206,21,"82 09 214 03 002",20995.226234685109375,1025,42.303958,-83.255055,1,rooftop,22688,"Michigan Ave",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1112934,0,422619,1.000000000000000,"22371 W VILLAGE DR",0,12.000000000000000,1023010,SANBORN,48124,13300,0,,1964,537.007404309548065,23,"82 09 223 06 001",14803.391381326166083,1025,42.303596,-83.250513,1,rooftop,22371,"W Village Dr",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1116802,0,422701,1.000000000000000,"19501 OUTER DR",0,18.000000000000000,1021265,SANBORN,48124,800,0,,0,114.554605084533819,14,"82 09 211 23 028",752.855951699750676,1025,42.305717,-83.263738,1,rooftop,19501,"Outer Dr",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1003202,0,423283,1.000000000000000,"32455 8 MILE RD",0,11.000000000000000,1156777,SANBORN,48152,11600,0,,1976,658.868005038240085,33,"46 010 01 0093 000",11620.339924129501014,1120,42.440277,-83.368406,1,rooftop,32455,"8 Mile Rd",,,Livonia,MI,"Wayne County",48152,US,Wayne
,1004249,0,423308,1.000000000000000,"27303 8 MILE RD",0,21.000000000000000,1380458,SANBORN,48240,8990,0,,1983,504.041451623058322,21,"79 004 04 0819 301",9284.689916982264549,1150,42.441421,-83.315934,1,rooftop,27303,"8 Mile Rd",,,Redford,MI,"Wayne County",48240,US,Wayne
,1102654,0,425087,2.000000000000000,"21502 OAKWOOD BLVD",0,26.000000000000000,1023660,SANBORN,48124,126000,0,,1926,1591.150954207769701,31,"82 09 234 01 001",62976.735180678704637,1025,42.298852,-83.229313,1,rooftop,21502,"Oakwood Blvd",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1169449,0,425905,2.000000000000000,"948 MONROE ST",0,29.000000000000000,1022848,SANBORN,48124,4900,0,,1896,218.014601929905524,21,"82 09 221 09 021",2474.093620187240504,1025,42.306539,-83.244437,1,rooftop,948,"Monroe St",,,Dearborn,MI,"Wayne County",48124,US,Semcog
,1187409,0,426195,2.000000000000000,"3153 FAIRLANE DR",0,23.000000000000000,1445008,SANBORN,48101,388100,0,,2005,3400.098476600032882,21,"30 002 01 0015 000",194047.997827466140734,1005,42.280606,-83.20826,1,rooftop,3153,"Fairlane Dr",,,"Allen Park",MI,"Wayne County",48101,US,Semcog
,1190036,0,426236,1.000000000000000,"3001 MILLER RD",0,83.000000000000000,1047811,SANBORN,48120,9700,0,,1940,421.449519309485254,31,"82 10 292 02 005",9699.214927304852608,1025,42.29306,-83.159635,1,rooftop,3001,"Miller Rd",,,Dearborn,MI,"Wayne County",48120,US,Semcog
,1210639,0,426619,1.000000000000000,"14501 N HAGGERTY RD",0,19.000000000000000,1370756,SANBORN,48170,17400,0,,0,647.611646772313975,11,"78 022 99 0008 001",17368.500829574575619,1145,42.389705,-83.442502,1,range_interpolation,14501,"N Haggerty Rd",,,Plymouth,MI,"Wayne County",48170,US,"TIGER/Line® dataset from the US Census Bureau"
,1210909,0,426624,1.000000000000000,"40600 PLYMOUTH RD",0,25.000000000000000,1370844,SANBORN,48170,222300,0,,0,2929.262373362744711,21,"78 025 99 0009 703",222326.733928620640654,1145,42.375501,-83.441969,1,rooftop,40600,"Plymouth Rd",,,Plymouth,MI,"Wayne County",48170,US,Semcog
,1211664,0,426633,2.000000000000000,"41112 CONCEPT DR",0,20.000000000000000,1377765,SANBORN,48170,201800,0,,2003,1945.405767881502697,23,"78 025 01 0008 301",100896.482357035885798,1145,42.380079,-83.43901,1,rooftop,41112,"Concept Dr",,,Plymouth,MI,"Wayne County",48170,US,Semcog
,1211672,0,426634,2.000000000000000,"331 N MAIN",0,24.000000000000000,1197567,SANBORN,48170,10868,0,,1916,433.831329474261111,21,"49 005 07 0007 000",5846.821882470153469,1140,42.375374,-83.463556,1,rooftop,331,"N Main St",,,Plymouth,MI,"Wayne County",48170,US,Semcog
,1268646,0,427781,2.000000000000000,"40000 6 MILE RD",0,23.000000000000000,1363848,SANBORN,48168,318900,0,,0,2649.527807133679744,13,"77 048 99 0001 707",159445.181528343964601,1135,42.413709,-83.438632,1,rooftop,40000,"6 Mile Rd",,,Northville,MI,"Wayne County",48168,US,Semcog
,1270225,0,427826,1.000000000000000,"41600 6 MILE RD",0,13.000000000000000,1437857,SANBORN,48168,24800,0,,1978,849.720574123745337,14,"77 044 99 0001 701",24802.233740682757343,1135,42.412483,-83.45393,1,rooftop,41600,"6 Mile Rd",,,Northville,MI,"Wayne County",48168,US,Semcog
